Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON
32,32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.7,-0.2,,,
33,33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,-2.5,-0.9,,,
34,34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-1.9,0.1,,,
35,35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-5.1,-0.1,,,
36,36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0,,,
37,37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004,-5.7,-0.1,,,
38,38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2,,,
39,39,CHA,Jeremy Tyler,None,3,104,1034,373,269,25,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-7,-1.3,,,
40,40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2,,,
41,41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,-5.1,-1.2,,,
42,42,IND,DÄÅvis BertÄÅns,None,5,331,6573,2854,928,361,0.433,0.407,0.855,19.9,8.6,2.8,1.1,15.9,0.116,0.7,4.5,,,
43,43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1,,,
44,44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8,,,
45,45,NOH,Josh Harrellson,Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.4,0.4,,,
46,46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-5,-0.3,,,
47,47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.3,0,,,
48,48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,0,,,3,0,1,0,0,-0.005,-7.7,0,,,
49,49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6,,,
50,50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,-2.1,-0.1,,,
51,51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161,1.2,0.1,,,
53,53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,-2.2,-0.1,,,
54,54,CLE,Milan MaÄçvan,None,,,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,0.455,0.388,0.742,21,7.9,2,1.8,14.8,0.057,-1.9,0.2,,,
56,56,LAL,Chukwudiebere Maduabum,None,,,,,,,,,,,,,,,,,,,,
57,57,DAL,Tanguy Ngombo,None,,,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok,None,,,,,,,,,,,,,,,,,,,,
59,59,SAS,ÃÅdÃ¡m Hanga,None,,,,,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas,Washington,10,528,15230,9531,1292,2604,0.435,0.363,0.872,28.8,18.1,2.4,4.9,45.2,0.142,2.2,16.3,,,
1,1,WAS,John Wall,Kentucky,10,613,21833,11702,2612,5557,0.431,0.323,0.779,35.6,19.1,4.3,9.1,44.1,0.097,2.4,24.1,,,
2,2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5,,,
3,3,NJN,Derrick Favors,Georgia Tech,11,751,18549,8148,5424,826,0.534,0.205,0.664,24.7,10.8,7.2,1.1,58.8,0.152,1,13.8,,,
4,4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,0.404,0.337,0.741,22.1,7,3.2,1.1,10.7,0.038,-1.6,1.2,,,
5,5,SAC,DeMarcus Cousins,Kentucky,10,606,18791,12372,6394,1908,0.46,0.334,0.737,31,20.4,10.6,3.1,45.2,0.116,2.6,21.6,,,
6,6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,-1.4,0.8,,,
7,7,DET,Greg Monroe,Georgetown,9,632,17475,8326,5229,1354,0.514,0.059,0.704,27.7,13.2,8.3,2.1,49.7,0.136,1.4,15.2,,,
8,8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,0.42,0.332,0.746,24.9,7.5,6,1.2,27.6,0.075,-0.6,6.4,,,
9,9,UTA,Gordon Hayward,Butler,11,685,21268,10676,3078,2399,0.453,0.37,0.825,31,15.6,4.5,3.5,57.2,0.129,2.1,22.2,,,
10,10,IND,Paul George,Fresno State,11,706,23664,14275,4522,2465,0.436,0.384,0.847,33.5,20.2,6.4,3.5,75.3,0.153,4.1,36.2,,,
11,11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,0.527,,0.738,10,3.1,3.3,0.5,9.6,0.135,0.1,1.8,,,
12,12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7,,,
13,13,TOR,Ed Davis,UNC,11,691,13555,4263,4552,532,0.566,0,0.585,19.6,6.2,6.6,0.8,42.8,0.151,-0.2,6.1,,,
14,14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,0.447,0.369,0.755,20.8,6.7,3.9,1,31.9,0.102,-0.1,7.4,,,
15,15,MIL,Larry Sanders,VCU,6,238,4635,1520,1345,174,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1,,,
16,16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,0.408,0.402,0.747,14,4.8,2.2,0.6,7.2,0.065,-2.1,-0.1,,,
17,17,CHI,Kevin SÃ©raphin,None,7,423,6430,2516,1462,246,0.489,0,0.715,15.2,5.9,3.5,0.6,5.9,0.044,-4.3,-3.6,,,
18,18,OKC,Eric Bledsoe,Kentucky,11,702,19660,9814,2755,3320,0.453,0.337,0.785,28,14,3.9,4.7,44.7,0.109,1.7,18.3,,,
19,19,BOS,Avery Bradley,Texas,11,598,16745,6885,1727,1058,0.435,0.363,0.78,28,11.5,2.9,1.8,16,0.046,-2.3,-1.3,,,
20,20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8,,,
21,21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2,,,
22,22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1,,,
23,23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2,,,
24,24,ATL,Damion James,Texas,4,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-3.7,-0.3,,,
25,25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1,,,
26,26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3,,,
27,27,NJN,Jordan Crawford,Xavier,6,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3,,,
28,28,MEM,Greivis Vasquez,Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.2,1.9,,,
29,29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-3.5,-0.2,,,
30,30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3,,,
31,31,NJN,Tibor PleiÃü,None,1,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-11.6,-0.2,,,
32,32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5,,,
33,33,SAC,Hassan Whiteside,Marshall,9,446,11483,5916,5029,301,0.581,0.308,0.603,25.7,13.3,11.3,0.7,46.2,0.193,2.6,13.3,,,
34,34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-4.1,-0.2,,,
35,35,WAS,Nemanja Bjelica,None,6,378,8030,2979,1757,667,0.465,0.387,0.765,21.2,7.9,4.6,1.8,16.9,0.101,0.2,4.3,,,
36,36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,,,,,,,
37,37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13,-0.1,,,
38,38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1,,,
39,39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6,,,
40,40,IND,Lance Stephenson,Cincinnati,9,508,11866,4354,2124,1456,0.444,0.315,0.685,23.4,8.6,4.2,2.9,16.7,0.068,-1.2,2.5,,,
41,41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1,,,
42,42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,,,,
43,43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5,,,
44,44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,-1,0.1,,,
45,45,MIN,PaulÃ£o Prestes,None,,,,,,,,,,,,,,,,,,,,
46,46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2,0,0,0,0,-0.009,-15,0,,,
47,47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,,,,
48,48,MIA,Latavious Williams,None,,,,,,,,,,,,,,,,,,,,
49,49,SAS,Ryan Richards,None,,,,,,,,,,,,,,,,,,,,
50,50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-4.4,-0.1,,,
51,51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,,,,
52,52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3,,,
53,53,ATL,Pape Sy,None,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0,,,
54,54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0,,,
55,55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9,,,
56,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-7.3,-0.2,,,
57,57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-2,0,,,
58,58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-7.1,-0.3,,,
59,59,ORL,Stanley Robinson,UConn,,,,,,,,,,,,,,,,,,,,
60,60,PHO,Dwayne Collins,Miami (FL),,,,,,,,,,,,,,,,,,,,
1,1,CLE,Andrew Wiggins,Kansas,7,525,18606,10263,2324,1232,0.446,0.341,0.731,35.4,19.5,4.4,2.3,18.9,0.049,-1.8,1,,,
2,2,MIL,Jabari Parker,Duke,7,298,8423,4327,1675,604,0.494,0.321,0.741,28.3,14.5,5.6,2,13.5,0.077,-0.8,2.5,,,
3,3,PHI,Joel Embiid,Kansas,5,260,7943,6456,2936,796,0.487,0.329,0.808,30.6,24.8,11.3,3.1,31.6,0.191,4.9,13.8,,,
4,4,ORL,Aaron Gordon,Arizona,7,453,12901,5761,2871,1125,0.45,0.321,0.695,28.5,12.7,6.3,2.5,23.6,0.088,0,6.4,,,
5,5,UTA,Dante Exum,None,6,245,4545,1389,441,515,0.407,0.305,0.764,18.6,5.7,1.8,2.1,3.1,0.032,-3.3,-1.5,,,
6,6,BOS,Marcus Smart,Oklahoma State,7,449,13188,4577,1597,1901,0.376,0.32,0.777,29.4,10.2,3.6,4.2,24,0.087,-0.3,5.6,,,
7,7,LAL,Julius Randle,Kentucky,7,446,13601,7744,4098,1472,0.485,0.342,0.741,30.5,17.4,9.2,3.3,28.3,0.1,0.3,7.9,,,
8,8,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,0.389,0.353,0.814,19.9,6.8,2.1,1.5,3.8,0.028,-3,-1.7,,,
9,9,CHH,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,0.459,0.308,0.691,16.8,4.9,5.1,0.8,9.2,0.078,-2.4,-0.6,,,
10,10,PHI,Elfrid Payton,Louisiana,7,450,12834,4886,1919,2769,0.45,0.289,0.63,28.5,10.9,4.3,6.2,15.9,0.06,-0.8,3.8,,,
11,11,DEN,Doug McDermott,Creighton,7,476,9789,4268,1121,432,0.478,0.407,0.824,20.6,9,2.4,0.9,17.7,0.087,-1.8,0.6,,,
12,12,ORL,Dario Å ariÄá,None,5,356,8965,4180,2086,699,0.441,0.357,0.838,25.2,11.7,5.9,2,16.4,0.088,-0.9,2.6,,,
13,13,MIN,Zach LaVine,UCLA,7,411,12891,7831,1568,1557,0.458,0.385,0.824,31.4,19.1,3.8,3.8,17.8,0.066,0.1,6.7,,,
14,14,PHO,TJ Warren,NC State,7,332,9553,5142,1372,397,0.507,0.357,0.78,28.8,15.5,4.1,1.2,19.6,0.099,-0.2,4.2,,,
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4,,,
16,16,CHI,Jusuf NurkiÄá,None,7,355,8236,4173,2894,746,0.494,0.207,0.668,23.2,11.8,8.2,2.1,19.7,0.115,0.5,5.1,,,
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3,,,
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8,,,
19,19,CHI,Gary Harris,Michigan State,7,407,11743,4847,1040,857,0.45,0.359,0.805,28.9,11.9,2.6,2.1,18.6,0.076,-1.3,2.2,,,
20,20,TOR,Bruno Caboclo,None,7,105,1293,442,268,72,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5,0.054,-2.7,-0.2,,,
21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1,,,
22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2,,,
23,23,UTA,Rodney Hood,Duke,7,396,10268,4493,1083,698,0.422,0.367,0.839,25.9,11.3,2.7,1.8,16.7,0.078,-1.1,2.2,,,
24,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2,,,
25,25,HOU,Clint Capela,None,7,397,10572,5031,4146,373,0.626,0,0.534,26.6,12.7,10.4,0.9,44.5,0.202,2,10.6,,,
26,26,MIA,PJ Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1,,,
27,27,PHO,Bogdan BogdanoviÄá,None,4,253,7193,3551,833,879,0.441,0.388,0.816,28.4,14,3.3,3.5,12.5,0.084,0.2,4.1,,,
28,28,LAC,CJ Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2,,,
29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4,,,
30,30,SAS,Kyle Anderson,UCLA,7,436,9099,2845,1852,984,0.483,0.335,0.724,20.9,6.5,4.2,2.3,23.5,0.124,1.8,8.7,,,
31,31,MIL,Damien Inglis,None,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-5.6,-0.1,,,
32,32,PHI,KJ McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-2.8,-0.4,,,
33,33,CLE,Joe Harris,Virginia,7,400,10178,4426,1288,665,0.484,0.438,0.779,25.4,11.1,3.2,1.7,20,0.094,-0.6,3.7,,,
34,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8,,,
35,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,0.1,0.1,,,
36,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.2,-1.8,,,
37,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,Colorado,7,320,8226,4123,888,1587,0.41,0.318,0.794,25.7,12.9,2.8,5,18.4,0.107,0.3,4.8,,,
39,39,PHI,Jerami Grant,Syracuse,7,508,12954,5425,1998,636,0.457,0.347,0.705,25.5,10.7,3.9,1.3,25.8,0.095,-0.6,4.4,,,
40,40,MIN,Glenn Robinson,Michigan,7,304,5299,1804,776,238,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9,0.071,-1.7,0.3,,,
41,41,DEN,Nikola JokiÄá,None,6,453,13542,8360,4437,2697,0.533,0.347,0.835,29.9,18.5,9.8,6,64.4,0.228,7.9,34,,,
42,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3,,,
43,43,ATL,Edy Tavares,None,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.4,0,,,
44,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4,,,
45,45,CHH,Dwight Powell,Stanford,7,429,7922,3209,1945,427,0.569,0.29,0.744,18.5,7.5,4.5,1,29.8,0.18,1.4,6.7,,,
46,46,WAS,Jordan Clarkson,Missouri,7,521,14050,7950,1698,1332,0.443,0.343,0.827,27,15.3,3.3,2.6,18.1,0.062,-0.5,5.3,,,
47,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-5.1,-0.1,,,
48,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4,,,
49,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-8.1,-0.3,,,
50,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,None,3,79,686,227,149,61,0.497,0.175,0.485,8.7,2.9,1.9,0.8,0.9,0.061,-3.7,-0.3,,,
52,52,PHI,Vasilije MiciÄá,None,,,,,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,None,,,,,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja DangubiÄá,None,,,,,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-5.1,-0.8,,,
56,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4,,,
57,57,IND,Louis Labeyrie,None,,,,,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,-2.1,0,,,
59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2,,,
