Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON
47,47,ATL,Raul Neto,None,6,317,4888,1787,478,617,0.452,0.382,0.817,15.4,5.6,1.5,1.9,8.6,0.084,-1.3,0.9,,,
48,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,-2.6,-0.5,,,
49,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.6,-0.1,,,
50,50,ATL,James Ennis,Cal State Long Beach,7,388,7966,2600,1294,370,0.457,0.36,0.797,20.5,6.7,3.3,1,16.1,0.097,-1.5,0.9,,,
51,51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,0.364,0.17,0.707,11.5,2.8,1.5,1.8,-0.2,-0.007,-3.5,-0.5,,,
53,53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne,None,4,208,2823,1159,789,180,0.479,0.285,0.719,13.6,5.6,3.8,0.9,5.2,0.089,-2.1,-0.1,,,
56,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2,,,
57,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,,,,
59,59,MIN,Bojan DubljeviÄá,None,,,,,,,,,,,,,,,,,,,,
60,60,MEM,JÄÅnis Timma,None,,,,,,,,,,,,,,,,,,,,
1,1,NOH,Anthony Davis,Kentucky,9,564,19401,13463,5769,1292,0.514,0.312,0.799,34.4,23.9,10.2,2.3,86.8,0.215,6.2,40,,,
2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6,,,
3,3,WAS,Bradley Beal,Florida,9,605,20979,13303,2452,2436,0.456,0.377,0.82,34.7,22,4.1,4,47.4,0.108,1.8,19.9,,,
4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4,,,
5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6,,,
6,6,POR,Damian Lillard,Weber State,9,682,24779,16815,2856,4514,0.439,0.375,0.893,36.3,24.7,4.2,6.6,92.3,0.179,4.8,42.6,,,
7,7,GSW,Harrison Barnes,UNC,9,670,21176,9301,3385,1190,0.452,0.377,0.8,31.6,13.9,5.1,1.8,38.8,0.088,-1,5.5,,,
8,8,TOR,Terrence Ross,Washington,9,607,15178,6896,1746,725,0.419,0.367,0.835,25,11.4,2.9,1.2,23.1,0.073,-0.7,5.1,,,
9,9,DET,Andre Drummond,UConn,9,645,19832,9358,8839,872,0.538,0.135,0.47,30.7,14.5,13.7,1.4,62.6,0.152,1.3,16.6,,,
10,10,NOH,Austin Rivers,Duke,9,588,14362,5338,1245,1348,0.418,0.35,0.646,24.4,9.1,2.1,2.3,12.7,0.043,-3,-3.6,,,
11,11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,0.482,0.39,0.809,16,5.6,3.9,0.9,15.5,0.104,-1.4,1,,,
12,12,HOU,Jeremy Lamb,UConn,9,517,10961,5395,1919,823,0.444,0.344,0.858,21.2,10.4,3.7,1.6,25.5,0.112,0.8,7.6,,,
13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-3.5,-1.1,,,
14,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.4,3.4,,,
15,15,PHI,Maurice Harkless,St. John's,9,574,13156,4042,2086,549,0.475,0.321,0.621,22.9,7,3.6,1,22.5,0.082,-0.7,4.3,,,
16,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,,,3,0,0,0,0,-0.121,-16.9,0,,,
