,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
333,442,23,23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,-1.9,0.1,,,,7.59,6,0.625489244,0.104248207,-1.872457004,-0.71446354,-1.157993464
334,443,24,24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.7,-0.6,,,,2.12,4,0.240462557,0.060115639,-1.706520036,-1.285841488,-0.420678548
335,444,25,25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-3.4,-1.1,,,,5.27,4,-0.628976205,-0.157244051,-2.620854209,-0.840372457,-1.780481752
336,445,26,26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,0.542,,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.9,0.2,,,,8.75,7,4.858318106,0.694045444,-1.017902045,-2.022384365,1.00448232
337,446,27,27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-2.8,-0.1,,,,,2,0.518516253,0.259258127,-1.234013041,-0.763196376,-0.470816665
338,448,29,29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-6.5,-1,,,,7.93,3,0.123135449,0.04104515,-2.102078991,-1.851025776,-0.251053215
339,449,30,30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-2,0,,,,6.64,3,2.150587683,0.716862561,-0.958078844,-2.425483225,1.467404381
340,450,31,31,CHA,Jeffery Taylor,Vanderbilt,3,132,2566,807,263,107,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,-4.2,-1.5,,,,6.64,3,-1.615164185,-0.538388062,-3.26935681,-2.44987856,-0.819478249
341,452,33,33,CLE,Bernard James,Florida State,3,92,761,203,212,13,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0,,,,7.04,3,0.856704899,0.2855683,-0.617649376,-1.424114369,0.806464993
342,453,34,34,CLE,Jae Crowder,Marquette,9,668,16676,6424,2787,1058,0.419,0.346,0.777,25,9.6,4.2,1.6,35.9,0.103,0.2,9.3,,,,8,9,33.40174894,3.711305437,0.68682539,0.302854247,0.383971144
343,454,35,35,GSW,Draymond Green,Michigan State,9,639,18183,5614,4415,3413,0.436,0.316,0.715,28.5,8.8,6.9,5.3,49,0.129,2.6,21.3,,,,9.76,9,66.58102978,7.397892198,3.235730755,0.223936378,3.011794377
344,455,36,36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1,,,,,3,0.590121966,0.196707322,-1.506672979,-0.956037082,-0.550635897
345,456,37,37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-2,-0.1,,,,7.2,7,4.16705234,0.595293191,-1.145605082,-1.57408709,0.428482008
346,457,38,38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5,,,,8.03,3,0.453057897,0.151019299,-1.575726237,-1.375047422,-0.200678815
347,458,39,39,DET,Khris Middleton,Texas A&M,9,585,18551,9811,2810,2103,0.46,0.395,0.879,31.7,16.8,4.8,3.6,45.2,0.117,0.6,12.4,,,,7.42,9,46.88099356,5.208999285,1.480547741,1.113921939,0.366625802
348,459,40,40,POR,Will Barton,Memphis,9,552,13846,6203,2315,1429,0.433,0.352,0.786,25.1,11.2,4.2,2.6,22.8,0.079,-0.2,6.1,,,,4.2,9,14.79567344,1.643963716,-0.704575305,0.148715557,-0.853290862
349,460,41,41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8,,,,8.42,2,-0.240453202,-0.120226601,-3.056011892,-1.751158555,-1.304853336
350,461,42,42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.8,-1.2,,,,8.42,2,-0.013126273,-0.006563137,-2.319247811,-1.508774241,-0.81047357
351,462,43,43,ATL,Mike Scott,Virginia,9,555,9182,3736,1727,499,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.8,0.6,,,,6.34,9,2.91029516,0.323366129,-1.830474617,-0.850478537,-0.97999608
352,463,44,44,DET,Kim English,Missouri,1,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2,,,,6.32,1,0.275761375,0.275761375,-1.283575249,-0.691765293,-0.591809956
353,464,45,45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.9,0.5,,,,8.03,3,1.51403736,0.50467912,-1.143719899,-0.977461949,-0.166257951
354,465,46,46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,-2.3,-0.4,,,,7.12,6,1.640955303,0.27349255,-1.846484039,-0.630604739,-1.2158793
355,466,47,47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-16.8,-0.2,,,,-4.01,1,0.041295254,0.041295254,-1.119454715,-0.371781576,-0.74767314
356,468,49,49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,0.517,0.218,0.74,14.2,5.4,4.6,1.4,17.8,0.128,0.9,5,,,,-7.19,8,13.92320475,1.740400594,0.792574188,-0.596334767,1.388908955
357,470,51,51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1,,,,8.37,1,0.051184315,0.051184315,-0.879152091,-0.337381406,-0.541770685
358,474,55,55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-25.5,-0.1,,,,8.08,2,0.030931668,0.015465834,-0.092328459,-0.196043841,0.103715383
359,477,58,58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4,,,,7.48,2,0.702562003,0.351281001,-1.546457775,-0.830371437,-0.716086338
360,479,60,60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-4,-1.4,,,,3.36,4,0.551620569,0.137905142,-2.000366875,-2.309504609,0.309137734
361,480,1,1,CLE,Kyrie Irving,Duke,10,582,19713,13293,2212,3336,0.47,0.391,0.881,33.9,22.8,3.8,5.7,68.7,0.167,4.6,32.7,,,,8.32,10,59.26067487,5.926067487,2.196825031,3.183568707,-0.986743676
362,481,2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-1.6,0.8,,,,8.05,7,2.956520605,0.422360086,-1.803116028,-0.758068939,-1.045047089
363,483,4,4,CLE,Tristan Thompson,Texas,10,673,18659,6248,5832,691,0.518,0.257,0.609,27.7,9.3,8.7,1,46,0.118,-1.6,1.7,,,,7.96,10,22.96376692,2.296376692,-0.467454271,-0.56123106,0.093776789
364,487,8,8,DET,Brandon Knight,Kentucky,8,446,13137,6269,1377,1769,0.411,0.353,0.806,29.5,14.1,3.1,4,11.5,0.042,-1.6,1.5,,,,8.91,8,8.796559483,1.099569935,-1.302862297,-0.190104888,-1.112757409
365,488,9,9,CHA,Kemba Walker,UConn,10,704,23718,13983,2704,3788,0.419,0.36,0.84,33.7,19.9,3.8,5.4,57.7,0.117,2.9,29.1,,,,9.39,10,68.10056819,6.810056819,1.993585524,2.396837929,-0.403252405
366,489,10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-2.5,-0.4,,,,3.56,6,1.145426301,0.190904384,-1.767688404,0.575282295,-2.342970698
367,490,11,11,GSW,Klay Thompson,Washington State,8,615,20340,11995,2130,1416,0.459,0.419,0.848,33.1,19.5,3.5,2.3,46.8,0.11,0.7,14.2,,,,6.32,8,46.38964802,5.798706003,1.103777842,1.548800514,-0.445022672
368,491,12,12,UTA,Alec Burks,Colorado,10,544,12061,5705,1813,1025,0.422,0.373,0.796,22.2,10.5,3.3,1.9,20,0.079,-0.9,3.4,,,,6.65,10,9.291695659,0.929169566,-1.146670491,-0.119111679,-1.027558812
369,492,13,13,PHO,Markieff Morris,Kansas,10,698,17426,7693,3669,1130,0.446,0.341,0.776,25,11,5.3,1.6,26.7,0.074,-1.4,2.7,,,,7.92,10,18.12450302,1.812450302,-0.74834512,-0.932238614,0.183893494
370,493,14,14,HOU,Marcus Morris,Kansas,10,664,17887,8091,3059,972,0.435,0.379,0.763,26.9,12.2,4.6,1.5,34,0.091,-0.5,6.8,,,,7.92,10,22.31525302,2.231525302,-0.437697444,-0.152021592,-0.285675852
371,493,14,14,HOU,Marcus Morris,Kansas,10,664,17887,8091,3059,972,0.435,0.379,0.763,26.9,12.2,4.6,1.5,34,0.091,-0.5,6.8,,,,7.92,0,0,#DIV/0!,#VALUE!,,
372,494,15,15,IND,Kawhi Leonard,San Diego State,10,576,18025,11085,3689,1672,0.493,0.384,0.858,31.3,19.2,6.4,2.9,83.3,0.222,6.8,40.1,,,,5.29,10,81.74110517,8.174110517,4.623152418,2.787508037,1.835644381
373,496,17,17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9,,,,7.34,10,13.836767,1.3836767,-0.500648025,-0.656076784,0.155428759
374,497,18,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8,,,,7.05,3,1.989671609,0.66322387,-1.1572424,-2.32378463,1.16654223
375,498,19,19,CHA,Tobias Harris,Tennessee,10,680,21075,11056,4164,1476,0.475,0.367,0.827,31,16.3,6.1,2.2,52.8,0.12,1.2,16.8,,,,8.73,10,37.17909735,3.717909735,0.331556779,0.331956405,-0.000399626
376,500,21,21,POR,Nolan Smith,Duke,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6,-0.8,,,,8.97,2,-0.25569083,-0.127845415,-2.780280637,-1.551721848,-1.228558789
377,501,22,22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,0.5,7.5,,,,-4.03,8,25.12605635,3.140757044,0.893070615,0.81454008,0.078530534
378,503,24,24,OKC,Reggie Jackson,Boston College,10,628,15664,7920,1851,2661,0.43,0.349,0.855,24.9,12.6,2.9,4.2,33.1,0.101,0.4,9.5,,,,7.25,10,29.20366084,2.920366084,0.47954305,1.13884453,-0.65930148
379,504,25,25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.046,-1.6,0.4,,,,7.44,5,-0.483286439,-0.096657288,-2.522505845,-0.850794996,-1.67171085
380,505,26,26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-0.1,1,,,,7.96,5,1.758985389,0.351797078,-1.047500056,-0.354541891,-0.692958166
381,506,27,27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1,,,,7.64,1,0.075785121,0.075785121,-1.919452028,-2.040097096,0.120645068
382,507,28,28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4.1,-4.1,,,,1.92,6,-1.759168727,-0.293194788,-2.639918311,-1.332419032,-1.307499279
383,508,29,29,SAS,Cory Joseph,Texas,10,663,14561,4640,1710,1949,0.444,0.333,0.774,22,7,2.6,2.9,26.2,0.086,-1,3.8,,,,7.96,10,18.09553259,1.809553259,-0.444600009,-0.301461601,-0.143138408
384,509,30,30,CHI,Jimmy Butler,Marquette,10,633,20933,11003,3322,2524,0.458,0.327,0.838,33.1,17.4,5.2,4,84.4,0.194,4.5,34.2,,,,8.21,10,75.68078126,7.568078126,3.149875902,2.334873888,0.815002014
385,511,32,32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.7,-0.2,,,,2.46,3,0.136947887,0.045649296,-0.934763344,-0.67221666,-0.262546684
386,512,33,33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,-2.5,-0.9,,,,8.97,6,1.704816999,0.284136166,-1.976855314,-1.291950137,-0.684905177
387,513,34,34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-1.9,0.1,,,,4.05,8,5.672063688,0.709007961,-1.289935432,-0.505550491,-0.784384941
388,514,35,35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-5.1,-0.1,,,,7.9,2,0.167516242,0.083758121,-0.207882277,-0.253225348,0.045343071
389,515,36,36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0,,,,6.85,1,0.871081743,0.871081743,-0.251406798,-0.534771622,0.283364823
390,516,37,37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004,-5.7,-0.1,,,,6.56,1,0.031442897,0.031442897,-1.90439285,-0.920426426,-0.983966424
391,517,38,38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2,,,,5.9,9,25.16864302,2.796515891,0.531847711,0.543876776,-0.012029065
392,519,40,40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2,,,,8.06,8,6.399229319,0.799903665,-0.691072456,-1.086038494,0.394966038
393,520,41,41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,-5.1,-1.2,,,,10.03,4,-0.189356089,-0.047339022,-2.504472575,-1.748304876,-0.756167699
394,522,43,43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1,,,,7.66,3,0.473309003,0.157769668,-0.972787119,-1.053080974,0.080293855
395,523,44,44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8,,,,-1.45,2,0.294424442,0.147212221,-1.969851239,-1.22990435,-0.739946889
396,524,45,45,NOH,Josh Harrellson,Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.4,0.4,,,,6.85,3,1.552987346,0.517662449,0.308146304,-0.868358799,1.176505103
397,525,46,46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-5,-0.3,,,,-2.92,3,-0.377437003,-0.125812334,-3.537711878,-1.396876321,-2.140835557
398,526,47,47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.3,0,,,,6.56,1,0.032404542,0.032404542,-1.22784514,-0.801139658,-0.426705481
399,527,48,48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,0,,,3,0,1,0,0,-0.005,-7.7,0,,,,-1.32,1,0.010654756,0.010654756,-0.556592464,-0.179123924,-0.37746854
400,528,49,49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6,,,,7.62,2,-0.049990165,-0.024995082,-2.564295939,-1.31823007,-1.246065869
401,529,50,50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,-2.1,-0.1,,,,4.24,6,5.864754373,0.977459062,-1.033030264,-1.562206708,0.529176444
402,531,52,52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161,1.2,0.1,,,,,1,0.212591131,0.212591131,0.04119544,0.237555948,-0.196360509
403,532,53,53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,-2.2,-0.1,,,,6.85,5,0.127241819,0.025448364,-2.202766859,-2.597092556,0.394325697
404,534,55,55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,0.455,0.388,0.742,21,7.9,2,1.8,14.8,0.057,-1.9,0.2,,,,7.64,10,5.219379416,0.521937942,-1.680074457,-1.113613241,-0.566461216
405,539,60,60,SAC,Isaiah Thomas,Washington,10,528,15230,9531,1292,2604,0.435,0.363,0.872,28.8,18.1,2.4,4.9,45.2,0.142,2.2,16.3,,,,7.81,10,35.21445255,3.521445255,1.152183417,3.097889861,-1.945706444
406,540,1,1,WAS,John Wall,Kentucky,10,613,21833,11702,2612,5557,0.431,0.323,0.779,35.6,19.1,4.3,9.1,44.1,0.097,2.4,24.1,,,,6.82,10,59.09243759,5.909243759,1.745590248,1.517947897,0.227642351
407,541,2,2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5,,,,7.86,10,10.71188713,1.071188713,-1.455232498,-1.341659394,-0.113573105
408,542,3,3,NJN,Derrick Favors,Georgia Tech,11,751,18549,8148,5424,826,0.534,0.205,0.664,24.7,10.8,7.2,1.1,58.8,0.152,1,13.8,,,,9.02,11,40.95278086,3.722980078,0.994466884,-0.350734551,1.345201434
409,543,4,4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,0.404,0.337,0.741,22.1,7,3.2,1.1,10.7,0.038,-1.6,1.2,,,,6.79,9,8.252353276,0.916928142,-1.384564072,-1.644686217,0.260122145
410,544,5,5,SAC,DeMarcus Cousins,Kentucky,10,606,18791,12372,6394,1908,0.46,0.334,0.737,31,20.4,10.6,3.1,45.2,0.116,2.6,21.6,,,,6.82,10,53.76933396,5.376933396,1.992341291,0.892579455,1.099761836
411,545,6,6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,-1.4,0.8,,,,,7,7.181146537,1.025878077,-0.422986507,-2.29571631,1.872729802
412,546,7,7,DET,Greg Monroe,Georgetown,9,632,17475,8326,5229,1354,0.514,0.059,0.704,27.7,13.2,8.3,2.1,49.7,0.136,1.4,15.2,,,,9.26,9,31.24284128,3.471426809,0.366103379,0.550353681,-0.184250302
413,547,8,8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,0.42,0.332,0.746,24.9,7.5,6,1.2,27.6,0.075,-0.6,6.4,,,,8.1,11,31.8342537,2.894023063,0.385439826,-0.825884795,1.211324621
414,548,9,9,UTA,Gordon Hayward,Butler,11,685,21268,10676,3078,2399,0.453,0.37,0.825,31,15.6,4.5,3.5,57.2,0.129,2.1,22.2,,,,3.57,11,48.29448263,4.390407512,1.091036136,1.326841971,-0.235805835
415,549,10,10,IND,Paul George,Fresno State,11,706,23664,14275,4522,2465,0.436,0.384,0.847,33.5,20.2,6.4,3.5,75.3,0.153,4.1,36.2,,,,1.13,11,86.99996898,7.909088089,3.23240161,1.939337516,1.293064094
416,550,11,11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,0.527,,0.738,10,3.1,3.3,0.5,9.6,0.135,0.1,1.8,,,,8.12,8,5.307538554,0.663442319,0.038025456,-1.557790252,1.595815708
417,551,12,12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7,,,,8.25,5,0.631724082,0.126344816,-1.989121082,-1.530030697,-0.459090385
418,552,13,13,TOR,Ed Davis,UNC,11,691,13555,4263,4552,532,0.566,0,0.585,19.6,6.2,6.6,0.8,42.8,0.151,-0.2,6.1,,,,9.09,11,16.63549153,1.512317412,-0.467894332,-1.238842574,0.770948242
419,553,14,14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,0.447,0.369,0.755,20.8,6.7,3.9,1,31.9,0.102,-0.1,7.4,,,,6.24,11,21.53557299,1.957779362,-0.149404756,0.067680728,-0.217085483
420,554,15,15,MIL,Larry Sanders,VCU,6,238,4635,1520,1345,174,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1,,,,-0.69,6,10.19943916,1.699906527,0.984566954,-2.269088708,3.253655662
421,555,16,16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,0.408,0.402,0.747,14,4.8,2.2,0.6,7.2,0.065,-2.1,-0.1,,,,1.98,8,2.693075564,0.336634445,-1.549041913,-0.80863303,-0.740408882
422,557,18,18,OKC,Eric Bledsoe,Kentucky,11,702,19660,9814,2755,3320,0.453,0.337,0.785,28,14,3.9,4.7,44.7,0.109,1.7,18.3,,,,6.82,11,50.42878428,4.584434934,1.53391702,0.836781765,0.697135255
423,558,19,19,BOS,Avery Bradley,Texas,11,598,16745,6885,1727,1058,0.435,0.363,0.78,28,11.5,2.9,1.8,16,0.046,-2.3,-1.3,,,,7.38,11,13.29578693,1.208707902,-1.116645922,-0.915036868,-0.201609054
424,559,20,20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8,,,,4.3,5,-0.738179215,-0.147635843,-2.580563943,-1.584142328,-0.996421615
425,560,21,21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2,,,,7.34,2,0.055403854,0.027701927,-1.613810288,-0.640104737,-0.97370555
426,561,22,22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1,,,,,4,-1.408383226,-0.352095806,-3.814793211,-2.317875456,-1.496917755
427,562,23,23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2,,,,7.85,8,10.48297112,1.310371389,-0.859979136,-0.833822123,-0.026157013
428,563,24,24,ATL,Damion James,Texas,4,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-3.7,-0.3,,,,7.54,3,0.653180197,0.217726732,-0.734256292,-2.085023842,1.35076755
429,564,25,25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1,,,,7.32,3,0.614561379,0.204853793,-1.059305843,-0.611774432,-0.447531411
430,565,26,26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3,,,,7.55,7,1.288199044,0.184028435,-1.95272439,-1.042494773,-0.910229617
431,566,27,27,NJN,Jordan Crawford,Xavier,6,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3,,,,,6,2.800944504,0.466824084,-1.687570609,0.387786332,-2.075356941
432,567,28,28,MEM,Greivis Vasquez,Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.2,1.9,,,,7.95,7,10.57964646,1.511378065,-0.641075643,0.814781128,-1.45585677
433,568,29,29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-3.5,-0.2,,,,6.82,3,0.520344034,0.173448011,-0.862142225,-1.567819508,0.705677283
434,569,30,30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3,,,,7.79,3,0.452628128,0.150876043,-1.154930521,-0.403017608,-0.751912914
435,571,32,32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5,,,,7.54,4,0.130850647,0.032712662,-1.734771773,-1.803232644,0.068460872
436,572,33,33,SAC,Hassan Whiteside,Marshall,9,446,11483,5916,5029,301,0.581,0.308,0.603,25.7,13.3,11.3,0.7,46.2,0.193,2.6,13.3,,,,1.57,9,40.73518848,4.526132053,3.021678455,0.320711652,2.700966803
437,573,34,34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-4.1,-0.2,,,,1.28,2,0.095018517,0.047509259,-1.952726816,-1.285656042,-0.667070774
438,576,37,37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13,-0.1,,,,3.84,1,0.050774412,0.050774412,-0.349724184,-0.21263642,-0.137087764
439,577,38,38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1,,,,7.83,1,0.020684272,0.020684272,-1.015108942,-0.522962811,-0.49214613
440,578,39,39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6,,,,7.35,5,8.459002588,1.691800518,-0.20075915,-0.111746921,-0.089012228
441,579,40,40,IND,Lance Stephenson,Cincinnati,9,508,11866,4354,2124,1456,0.444,0.315,0.685,23.4,8.6,4.2,2.9,16.7,0.068,-1.2,2.5,,,,8.45,9,10.96301841,1.218113156,-0.922953173,-0.553846478,-0.369106695
442,580,41,41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1,,,,5.47,2,0.494351052,0.247175526,-0.442987552,-1.739529667,1.296542115
443,582,43,43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5,,,,9.3,3,0.350894543,0.116964848,-1.560091556,-1.326014365,-0.234077191
