,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
271,345,46,46,MIL,Norman Powell,UCLA,6,376,7965,3923,943,529,0.463,0.377,0.837,21.2,10.4,2.5,1.4,16.7,0.101,-0.2,3.6,,,,7.25,6,6.277442661,1.046240444,-1.121154458,-0.446578879,-0.674575579
272,347,48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1,,,,9.28,1,0.190765356,0.190765356,-0.533451481,-0.736671433,0.203219952
273,355,56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0,,,,9.93,1,0.015829277,0.015829277,-1.477756119,-0.447771058,-1.029985061
274,360,1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3,,,,5.71,4,-0.316741731,-0.079185433,-2.564908971,-1.748532348,-0.816376623
275,361,2,2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,0.438,0.347,0.791,33,17.5,4.6,4,24.6,0.079,0.9,10.9,,,,7.94,8,33.86076336,4.23259542,1.088450215,0.37599066,0.712459556
276,363,4,4,CHA,Cody Zeller,Indiana,8,467,10618,4062,2824,669,0.518,0.227,0.729,22.7,8.7,6,1.4,31,0.14,-0.5,4.1,,,,8.09,8,19.61690155,2.452112693,0.454401482,-0.544448182,0.998849663
277,364,5,5,PHO,Alex Len,Maryland,8,531,10149,4136,3180,444,0.506,0.332,0.685,19.1,7.8,6,0.8,20.7,0.098,-1.9,0.2,,,,5.32,8,10.90614236,1.363267795,-0.697897251,-1.773497661,1.07560041
278,365,6,6,NOH,Nerlens Noel,Kentucky,7,425,9524,3218,2648,468,0.549,0.2,0.653,22.4,7.6,6.2,1.1,26.8,0.135,0.9,7,,,,5.78,7,13.74038167,1.962911668,-0.146019108,-2.652138161,2.506119052
279,366,7,7,SAC,Ben McLemore,Kansas,8,492,11249,4360,1166,504,0.416,0.363,0.776,22.9,8.9,2.4,1,8.2,0.035,-3.1,-3,,,,7.54,8,5.57829482,0.697286852,-1.561279602,-0.764094294,-0.797185308
280,367,8,8,DET,Kentavious Caldwell-Pope,Georgia,8,606,17645,6893,1887,1005,0.419,0.355,0.803,29.1,11.4,3.1,1.7,31.8,0.087,-0.7,5.6,,,,7.02,8,26.3420612,3.29275765,-0.072361573,0.216475767,-0.28883734
281,368,9,9,MIN,Trey Burke,Michigan,8,456,9960,4578,845,1465,0.411,0.346,0.808,21.8,10,1.9,3.2,12.9,0.062,-1.2,2,,,,9.51,8,7.810795203,0.9763494,-1.132815783,0.689583119,-1.822398902
282,369,10,10,POR,CJ McCollum,Lehigh,8,528,16479,9971,1772,1729,0.455,0.398,0.826,31.2,18.9,3.4,3.3,36.7,0.107,1.2,13.3,,,,-5.41,8,36.30664906,4.538331133,0.983653217,1.597368852,-0.613715634
283,370,11,11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9,,,,8.29,8,14.27419397,1.784274246,-0.147940967,-0.76582565,0.617884683
