Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Jordan McRae,4,1.350629821,0.337657455,-1.110808587,-0.18047077,-0.930337817
Shake Milton,3,1.501889852,0.500629951,-1.413141986,-0.087190441,-1.325951545
David Nwaba,5,3.243806557,0.648761311,-1.085797391,-1.015591392,-0.070205999
Jaylen Nowell,2,0.69076841,0.345384205,-1.163476689,-0.260350563,-0.903126126
Avery Bradley,11,13.29578693,1.208707902,-1.116645922,-0.915036868,-0.201609054
Nick Richards,1,0.047409412,0.047409412,-1.165888957,-0.69884233,-0.467046627
Ben Uzoh,2,0.963399971,0.481699985,-0.516839452,-0.434050711,-0.082788742
John Lucas III,6,2.176453336,0.362742223,-0.975760246,0.19369775,-1.169457997
Chuma Okeke,1,0.840168045,0.840168045,-1.188687086,-1.317032192,0.128345105
Aaron Jackson,1,0.026945558,0.026945558,-1.130223684,-0.313527851,-0.816695833
Daniel Ochefu,1,0.058454757,0.058454757,-1.131160251,-0.615603918,-0.515556333
Arnett Moultrie,2,0.518516253,0.259258127,-1.234013041,-0.763196376,-0.470816665
Axel Toupane,3,0.324005501,0.108001834,-1.128275286,-0.916007504,-0.212267781
Jordan Nwora,1,0.177049237,0.177049237,-1.33007447,-0.946220285,-0.383854185
Justin Hamilton,3,1.51403736,0.50467912,-1.143719899,-0.977461949,-0.166257951
Moritz Wagner,3,1.327093353,0.442364451,-1.308053439,-1.565629808,0.257576369
Brian Cardinal,3,0.945975334,0.315325111,-1.081151701,-1.166777148,0.085625447
Vitor Faverani,1,0.374713373,0.374713373,-1.1489681,-1.949459113,0.800491013
Mickell Gladness,1,0.203412324,0.203412324,-1.091450813,-1.818649545,0.727198732
Alec Burks,10,9.291695659,0.929169566,-1.146670491,-0.119111679,-1.027558812
Marcus Derrickson,1,0.051552957,0.051552957,-1.152981457,-0.208986068,-0.943995389
Markel Brown,3,1.36651151,0.455503837,-1.160571622,-0.482539211,-0.678032411
Kenny Thomas,1,0.306534478,0.306534478,-0.835732945,-1.483184883,0.647451938
Stephen Jackson,5,8.738986121,1.747797224,-0.653943918,-0.363787604,-0.290156314
Dion Waiters,8,9.259906392,1.157488299,-1.129912713,-0.29489197,-0.835020743
Norman Powell,6,6.277442661,1.046240444,-1.121154458,-0.446578879,-0.674575579
Ramon Sessions,9,9.776816865,1.086312985,-1.215868695,0.191051865,-1.406920559
Nathan Knight,1,0.302190381,0.302190381,-0.679293351,-0.315105261,-0.36418809
Lindsey Hunter,1,0.106154876,0.106154876,-0.995484785,-0.238887565,-0.75659722
Marshall Plumlee,2,0.167085167,0.083542583,-1.17257731,-0.678855844,-0.493721466
Nicolas Brussino,2,0.398406483,0.199203241,-1.176754296,-0.653592733,-0.523161564
Jordan Hamilton,5,1.758985389,0.351797078,-1.047500056,-0.354541891,-0.692958166
Bol Bol,2,0.126782057,0.063391028,-1.530373447,-1.114923823,-0.415449623
Donatas Motiejunas,6,3.582428462,0.59707141,-1.125753632,-1.061163912,-0.06458972
Gerald Henderson,8,9.477543974,1.184692997,-1.280794391,-0.891381027,-0.389413364
Payton Pritchard,1,0.969805791,0.969805791,-1.15398538,-0.173094038,-0.980891342
Tim Thomas,1,0.173453083,0.173453083,-1.388357508,-0.028310831,-1.360046677
Noah Vonleh,7,4.223973017,0.603424717,-1.191243732,-2.018878079,0.827634347
Josh Okogie,3,3.577900101,1.192633367,-1.113638904,-1.305959107,0.192320203
D.J. Augustin,12,14.58229266,1.215191055,-1.21603663,0.405458256,-1.621494886
John Holland,1,0.128638468,0.128638468,-1.195260498,-0.370393812,-0.824866687
Jeff Green,11,18.50765097,1.682513725,-1.122841526,-0.48213106,-0.640710466
Brian Cook,3,0.77633803,0.258779343,-0.787215704,-0.910066774,0.12285107
Shawne Williams,4,3.141021983,0.785255496,-1.021847778,-0.721279936,-0.300567842
Jake Layman,5,2.091969794,0.418393959,-1.207449065,-1.206603644,-0.000845421
